abs time (s)	Fx	Fy	Fz	Mx	My	Mz	Ax	Ay	Fx	Fy	Fz	Mx	My	Mz	Ax	Ay	Fx	Fy	Fz	Mx	My	Mz	Ax	Ay
	N	N	N	N m	N m	N m	m	m	N	N	N	N m	N m	N m	m	m	N	N	N	N m	N m	N m	m	m
0.050000	-1.049402	1.805143	0.053741	0.094353	-0.240069	0.310730	4.467110	1.755687	-3.669547	-0.694083	-2.214823	0.205861	-0.266033	-0.512561	0.000000	0.000000	-0.180898	3.419314	0.542973	-0.244207	0.080429	-0.546361	-0.148127	-0.449759
0.051042	-1.201990	1.957731	1.579620	0.174919	-0.296831	0.184845	0.187913	0.110735	-3.631400	-0.808524	-1.813275	0.132762	-0.215444	-0.533923	0.000000	0.000000	0.009837	3.228579	0.944520	-0.151881	-0.148483	-0.491429	0.157205	-0.160803
0.052083	-1.354577	2.034025	0.358917	0.341088	-0.300188	0.202011	0.836372	0.950324	-3.707694	-0.770377	-3.017917	0.050049	0.117049	-0.538501	0.000000	0.000000	-0.219045	3.190432	-2.267857	-0.310097	-0.066531	-0.529576	0.000000	0.000000
0.053125	-1.201990	1.957731	0.664093	-0.244697	-0.243426	0.184845	0.366554	-0.368468	-3.860282	-0.808524	-2.616370	0.453999	-0.422606	-0.524768	0.000000	0.000000	0.047984	3.266726	0.542973	-0.234594	0.094848	-0.546361	-0.174684	-0.432055
0.054167	-1.125696	1.652556	-0.861786	0.349480	0.025282	0.137161	0.000000	0.000000	-3.783988	-0.808524	-2.616370	0.132762	-0.225057	-0.524768	0.000000	0.000000	-0.104604	3.266726	-1.464763	0.327572	0.037050	-0.555516	0.000000	0.000000
0.055208	-0.973108	1.881437	-1.166962	-0.075172	-0.131579	0.177216	0.000000	0.000000	-3.974723	-0.770377	-1.010181	-0.030260	-0.333444	-0.527820	0.000000	0.000000	0.009837	3.266726	-2.669404	-0.716450	0.285188	-0.538731	0.000000	0.000000
0.056250	-0.973108	1.805143	0.969269	-0.157417	-0.184984	0.205826	0.190850	-0.162408	-3.783988	-0.846671	-1.411728	0.054856	-0.273243	-0.520190	0.000000	0.000000	0.047984	3.381167	-0.661669	-0.000875	-0.242451	-0.575352	0.000000	0.000000
0.057292	-1.430871	1.805143	0.664093	0.262200	0.071974	0.152420	-0.108379	0.394824	-3.822135	-0.922965	-3.821011	0.220281	-0.275646	-0.506458	0.000000	0.000000	-0.028310	3.381167	0.141426	-0.322113	-0.054515	-0.544835	0.385468	-2.277616
0.058333	-1.201990	2.186613	0.358917	-0.165809	0.130415	0.282120	-0.363356	-0.461971	-3.707694	-0.846671	-0.608634	0.376093	0.020678	-0.529346	0.000000	0.000000	-0.104604	3.495607	0.944520	-0.168704	-0.155693	-0.546361	0.164838	-0.178614
0.059375	-1.049402	2.110319	0.969269	0.003716	0.026960	0.173401	-0.027815	0.003834	-3.783988	-0.922965	-2.214823	0.220281	-0.176871	-0.495776	0.000000	0.000000	-0.028310	3.686342	2.550708	-0.341339	-0.054515	-0.544835	0.021373	-0.133821
0.060417	-1.201990	1.805143	-0.556610	0.094353	-0.136614	0.215363	0.000000	0.000000	-3.898429	-0.961112	-1.813275	0.624231	-0.232267	-0.572070	0.000000	0.000000	0.162425	3.495607	-1.464763	0.313152	-0.235241	-0.578404	0.000000	0.000000
0.061458	-1.201990	1.652556	0.969269	0.181633	0.023603	0.310730	-0.024352	0.187392	-3.822135	-0.961112	0.194460	0.062065	-0.179274	-0.526294	0.921909	0.319168	0.047984	3.419314	-0.661669	-0.645754	0.046663	-0.561619	0.000000	0.000000
0.062500	-1.278284	1.652556	0.664093	0.265557	0.075330	0.194382	-0.113434	0.399879	-3.669547	-0.884818	-3.017917	0.699734	-0.458775	-0.526294	0.000000	0.000000	-0.104604	3.648195	-3.874045	-0.178317	-0.348435	-0.546361	0.000000	0.000000
0.063542	-1.354577	2.034025	0.358917	0.341088	-0.193377	0.270676	0.538778	0.950324	-3.822135	-0.884818	-2.616370	-0.183669	-0.131089	-0.501880	0.000000	0.000000	0.009837	3.610048	-0.260122	0.065014	-0.003926	-0.534154	0.000000	0.000000
0.064583	-1.430871	2.034025	2.800323	0.173241	-0.088244	0.192474	0.031512	0.061865	-3.860282	-0.846671	-1.411728	0.376093	0.300179	-0.562915	0.000000	0.000000	-0.066457	3.419314	-1.063216	0.237650	0.087639	-0.520421	0.000000	0.000000
0.065625	-0.973108	1.881437	0.664093	-0.243019	-0.024767	0.345062	0.037295	-0.365941	-3.707694	-0.732230	-3.017917	0.368884	0.020678	-0.500354	0.000000	0.000000	-0.028310	3.381167	-3.472498	-0.081185	-0.102701	-0.535679	0.000000	0.000000
0.066667	-0.820520	1.881437	-0.861786	0.008751	-0.181628	0.165772	0.000000	0.000000	-3.745841	-0.961112	-1.813275	0.302994	-0.319025	-0.477466	0.000000	0.000000	-0.180898	3.266726	-1.866310	-0.073975	-0.112314	-0.576878	0.000000	0.000000
0.067708	-0.973108	2.034025	-1.166962	0.257164	0.082044	0.234436	0.000000	0.000000	-3.822135	-0.732230	-1.813275	-0.193282	-0.034718	-0.541553	0.000000	0.000000	-0.066457	3.304873	-0.260121	-0.076378	0.087639	-0.543309	0.000000	0.000000
0.068750	-1.201990	2.110319	1.274445	0.423333	-0.243426	0.200104	0.191005	0.332170	-3.898429	-0.808524	-2.616370	0.132762	-0.039524	-0.501880	0.000000	0.000000	-0.028310	3.075991	-0.260122	-0.061959	-0.102701	-0.532628	0.000000	0.000000
0.069792	-1.125696	1.728849	-0.251434	0.179955	-0.081530	0.306915	0.000000	0.000000	-3.936576	-0.808524	-1.411728	0.213071	0.006258	-0.533923	0.000000	0.000000	0.009837	3.190432	-1.063216	0.091450	-0.100297	-0.505162	0.000000	0.000000
0.070833	-1.201990	1.652556	-1.472137	-0.154060	0.130415	0.268768	0.000000	0.000000	-3.860282	-0.770377	-1.411728	0.531906	-0.181678	-0.529346	0.000000	0.000000	-0.028310	3.075991	-1.063216	-0.061959	-0.006329	-0.523472	0.000000	0.000000
0.071875	-1.278284	2.034025	-0.861786	-0.330299	-0.084887	0.234436	0.000000	0.000000	-3.822135	-0.961112	-2.616370	0.302994	-0.227460	-0.501880	0.000000	0.000000	-0.066457	3.075991	-0.260122	-0.061959	-0.201475	-0.515843	0.000000	0.000000
0.072917	-1.125696	1.805143	0.358917	0.178276	-0.188341	0.263046	0.524749	0.496706	-3.860282	-0.808524	-3.017917	-0.108166	0.011065	-0.500354	0.000000	0.000000	-0.028310	3.228579	-0.661669	-0.151881	-0.343629	-0.520421	0.000000	0.000000
0.073958	-1.354577	1.805143	-2.082489	-0.325264	0.020246	0.200104	0.000000	0.000000	-3.669547	-0.884818	-1.813275	0.137568	-0.025104	-0.492725	0.000000	0.000000	-0.104604	3.266726	0.542973	-0.395213	-0.107507	-0.531102	0.197997	-0.727869
0.075000	-1.278284	2.034025	-0.556610	0.257164	-0.031481	0.287842	0.000000	0.000000	-3.822135	-0.846671	-1.010181	-0.346691	0.061654	-0.521716	0.000000	0.000000	0.124278	3.304873	-0.661669	-0.156688	0.051469	-0.526524	0.000000	0.000000
